epoch,accuracy,loss,val_accuracy,val_loss
0,0.7799999713897705,0.688913106918335,0.8962500095367432,0.2655721604824066
1,0.8535000085830688,0.3829224109649658,0.8962500095367432,0.2522893249988556
2,0.8705000281333923,0.33500605821609497,0.8525000214576721,0.4084765613079071
3,0.8999999761581421,0.28657305240631104,0.9024999737739563,0.30657556653022766
4,0.9129999876022339,0.2492743730545044,0.9049999713897705,0.27475571632385254
5,0.9185000061988831,0.21993820369243622,0.8974999785423279,0.32878363132476807
6,0.9340000152587891,0.19504690170288086,0.9024999737739563,0.3322966694831848
7,0.9375,0.17391568422317505,0.9087499976158142,0.3390371799468994
8,0.9449999928474426,0.16296963393688202,0.9024999737739563,0.4253869354724884
9,0.9539999961853027,0.12766149640083313,0.8999999761581421,0.4603988528251648
